City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Zyryanovsk,KZ,49.7386,84.2719,34.74,62,100,0.65,overcast clouds
79,Murgab,TM,37.4966,61.9714,71.47,35,0,6.91,clear sky
80,Novoagansk,RU,61.9449,76.6625,38.08,97,100,11.01,light rain
81,Teya,RU,60.3778,92.6267,32.74,94,100,6.24,overcast clouds
82,Sabang,ID,5.8933,95.3214,82.56,77,93,12.5,overcast clouds
83,Beloha,MG,-25.1667,45.05,68.23,76,92,14.09,overcast clouds
84,Klaksvik,FO,62.2266,-6.589,41.92,94,100,30.76,overcast clouds
85,Sorong,ID,-0.8833,131.25,78.3,86,100,9.8,overcast clouds
86,East London,ZA,-33.0153,27.9116,70.29,56,100,24.07,overcast clouds
87,Emerald,AU,-23.5333,148.1667,53.74,82,0,1.14,clear sky
88,Lahaina,US,20.8783,-156.6825,83.44,68,15,7.78,few clouds
89,Shingu,JP,33.7333,135.9833,68.92,76,100,5.06,overcast clouds
90,Cabo San Lucas,MX,22.8909,-109.9124,95.5,66,20,6.91,few clouds
91,Hithadhoo,MV,-0.6,73.0833,81.72,80,100,21.74,heavy intensity rain
92,Pisco,PE,-13.7,-76.2167,67.01,72,20,9.22,few clouds
93,Stornoway,GB,58.2093,-6.3865,57.16,88,75,10.36,broken clouds
94,Gao,ML,16.6362,1.637,98.24,22,26,6.96,scattered clouds
95,Inirida,CO,3.8653,-67.9239,80.06,86,100,3.31,overcast clouds
96,Yaan,NG,7.3833,8.5667,76.39,86,88,3.98,overcast clouds
97,Adrar,MR,20.5022,-10.0711,98.58,11,11,7.09,few clouds
98,Caravelas,BR,-17.7125,-39.2481,74.14,62,11,12.46,few clouds
99,Wexford,IE,52.3342,-6.4575,62.58,84,27,7.58,scattered clouds
100,Briancon,FR,44.9,6.65,55.51,83,29,3.31,scattered clouds
101,Sabha,LY,27.0377,14.4283,87.76,13,1,7.29,clear sky
102,Wanning,CN,18.8003,110.3967,80.92,88,100,14.18,overcast clouds
103,La Ronge,CA,55.1001,-105.2842,50.25,53,75,13.8,broken clouds
104,Trollhattan,SE,58.2333,12.4167,53.47,95,7,7.0,clear sky
105,Lufilufi,WS,-13.8745,-171.5986,78.58,72,12,9.64,few clouds
106,Mineiros,BR,-17.5694,-52.5511,97.3,15,5,9.26,clear sky
107,Tastur,TN,36.5513,9.4431,82.02,56,3,9.42,clear sky
108,Rawlins,US,41.7911,-107.2387,68.22,19,1,0.0,clear sky
109,Castro,BR,-24.7911,-50.0119,69.1,40,100,5.73,overcast clouds
110,Kununurra,AU,-15.7667,128.7333,51.78,76,8,0.0,clear sky
111,Quang Ngai,VN,15.1167,108.8,74.86,94,100,10.18,overcast clouds
112,Matay,EG,28.419,30.7792,85.06,35,0,11.56,clear sky
113,Totma,RU,59.9747,42.7642,47.19,95,100,8.46,overcast clouds
114,Atikokan,CA,48.7555,-91.6216,69.76,32,0,7.83,clear sky
115,Ulaangom,MN,49.9811,92.0667,40.82,41,15,4.43,few clouds
116,Victoria,HK,22.2855,114.1577,85.32,82,69,16.69,broken clouds
117,Meulaboh,ID,4.1363,96.1285,77.45,88,75,3.85,broken clouds
118,Abaza,RU,52.655,90.0928,37.42,92,100,1.28,light rain
119,Saldanha,ZA,-33.0117,17.9442,59.05,92,100,2.13,overcast clouds
120,Urdoma,RU,61.7533,48.5442,45.19,80,96,6.44,overcast clouds
121,Nenjiang,CN,49.1833,125.2167,49.91,89,100,7.14,overcast clouds
122,Te Anau,NZ,-45.4167,167.7167,39.78,82,54,5.53,broken clouds
123,Luderitz,NA,-26.6481,15.1594,58.37,78,52,15.52,broken clouds
124,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,28,75,17.27,broken clouds
125,Sakakah,SA,29.9697,40.2064,81.97,19,0,9.06,clear sky
126,Scottsboro,US,34.6723,-86.0341,73.17,49,20,5.75,few clouds
127,Mar Del Plata,AR,-38.0023,-57.5575,57.22,88,90,3.44,overcast clouds
128,Ambilobe,MG,-13.2,49.05,70.97,72,0,5.17,clear sky
129,New Norfolk,AU,-42.7826,147.0587,45.9,76,98,6.64,overcast clouds
130,Oda,JP,35.1833,132.5,65.48,80,25,4.88,scattered clouds
131,Atuona,PF,-9.8,-139.0333,77.94,74,9,17.47,clear sky
132,Chuy,UY,-33.6971,-53.4616,57.06,90,98,7.85,overcast clouds
133,Birao,CF,10.2849,22.7882,74.28,92,7,4.81,light rain
134,Kodiak,US,57.79,-152.4072,44.11,76,90,29.93,moderate rain
135,Port Hardy,CA,50.6996,-127.4199,53.78,82,90,4.61,overcast clouds
136,Kiruna,SE,67.8557,20.2251,38.32,93,90,8.05,moderate rain
137,Dharchula,IN,29.85,80.5333,67.32,87,89,4.59,overcast clouds
138,Sikonge,TZ,-5.6333,32.7667,79.61,28,99,7.47,overcast clouds
139,Bluff,NZ,-46.6,168.3333,46.8,67,62,25.66,broken clouds
140,Sosnovo-Ozerskoye,RU,52.5249,111.5418,32.5,91,6,4.29,clear sky
141,Hilo,US,19.7297,-155.09,82.62,65,1,3.44,clear sky
142,Tiksi,RU,71.6872,128.8694,38.79,79,100,21.3,overcast clouds
143,Tsaratanana,MG,-16.7833,47.65,68.77,68,1,11.48,clear sky
144,Kashi,CN,39.4547,75.9797,69.01,28,0,11.18,clear sky
145,Tromso,NO,69.6496,18.957,50.02,66,75,10.36,broken clouds
146,Chokurdakh,RU,70.6333,147.9167,28.26,90,100,5.53,overcast clouds
147,Pierre,US,44.3683,-100.351,79.72,31,1,4.61,clear sky
