City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Picayune,US,75.83,clear sky,30.5255,-89.6795,Holiday Inn Express & Suites Picayune
449,Volcan,PA,75.74,overcast clouds,8.7667,-82.6333,Hostal Victoria Volcan Chiriqui
451,Pangkalanbuun,ID,75.22,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
452,Praia Da Vitoria,PT,75.76,broken clouds,38.7333,-27.0667,Hotel Branco I
457,Altamont,US,59.77,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
464,Na Wa,TH,73.65,heavy intensity rain,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
466,Senj,HR,68.95,clear sky,44.9894,14.9058,Roza Guest House
468,Shubarkuduk,KZ,59.77,broken clouds,49.1447,56.4872,Sirius
473,Dolores,AR,65.91,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
474,Manakara,MG,70.63,clear sky,-22.1333,48.0167,La Residence Manakara
478,Luganville,VU,76.53,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
481,Bracebridge,CA,57.85,overcast clouds,45.0334,-79.3163,BRACEBRIDGE INN
484,Nara,JP,71.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
485,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
486,Cloquet,US,55.38,moderate rain,46.7216,-92.4594,Super 8 by Wyndham Cloquet
488,Amberley,US,71.06,clear sky,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
489,Zlate Moravce,SK,67.96,overcast clouds,48.3855,18.4006,Hotel HRADNÁ STRÁŽ
492,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
493,Longyan,CN,72.48,light rain,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
494,Preobrazheniye,RU,55.92,clear sky,42.9019,133.9064,Campsite Orlan
496,Stornoway,GB,57.16,broken clouds,58.2093,-6.3865,Caladh Inn
497,Stranda,NO,55.58,light rain,62.3096,6.9358,Stranda Feriesenter
499,Batouri,CM,73.72,overcast clouds,4.4333,14.3667,Hotel Hollywood
502,Sakaraha,MG,72.37,overcast clouds,-22.9,44.5333,Le Relais
503,Skibbereen,IE,71.4,overcast clouds,51.55,-9.2667,The West Cork Hotel
504,Tandil,AR,63.75,scattered clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
507,Hami,CN,68.36,broken clouds,42.8,93.45,Laoyutang Resort
512,Matamoros,MX,76.26,broken clouds,25.5333,-103.25,Quinta Belem
513,Kimbe,PG,74.39,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
515,Laramie,US,59.34,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
519,Tateyama,JP,76.01,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
521,Russell,US,73.96,clear sky,32.3502,-85.1999,Macs
522,Mogok,MM,65.62,broken clouds,22.9167,96.5,MOGOK HILL HOTEL
523,Umuahia,NG,76.48,overcast clouds,5.5263,7.4896,Hotel Macbek Limited
525,Wajima,JP,67.71,clear sky,37.4,136.9,Wajiima Onsen Yashio
527,Neon Karlovasion,GR,70.92,broken clouds,37.7903,26.7044,Hotel Aegeon
529,Plouzane,FR,68.32,clear sky,48.3833,-4.6167,Carrefour Voyages Plouzané
531,Norsup,VU,76.48,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
532,Erzin,TR,74.12,clear sky,36.9559,36.2,Artemis Otel
533,Meiganga,CM,71.22,moderate rain,6.5167,14.3,DFR HOUSE
535,Saint Anthony,US,62.55,light rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
539,Namibe,AO,70.47,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
540,Eregli,TR,58.26,clear sky,37.5133,34.0467,Hotel Fuat Bey
541,Quatre Cocos,MU,71.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
542,Silver City,US,66.63,clear sky,32.7701,-108.2803,Copper Manor Motel
546,North Platte,US,69.69,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
550,Coleraine,GB,65.12,overcast clouds,55.1333,-6.6667,The Lodge Hotel
556,Juye,CN,74.98,heavy intensity rain,35.3947,116.0883,Thank Inn Chain Hotel shandong heze juye county shanghai jiayuan
557,Bengkulu,ID,76.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
558,Kropotkin,RU,57.63,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
562,Asosa,ET,61.86,light rain,10.0667,34.5333,Blendana Hotel Assosa
567,Auki,SB,76.53,broken clouds,-8.7676,160.7034,Auki Motel
571,Ozinki,RU,60.85,overcast clouds,51.1786,49.6769,Korolevskiy Dvor
572,Nosy Varika,MG,70.5,few clouds,-20.5833,48.5333,Hotel Volazara
574,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
577,Leh,IN,58.53,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
579,Cochrane,CA,61.43,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
580,Abong Mbang,CM,69.66,overcast clouds,3.9833,13.1833,Auberge Angle Sur
581,Koumac,NC,68.79,overcast clouds,-20.5667,164.2833,Le Monitel
582,Mujiayingzi,CN,60.42,moderate rain,42.1167,118.7833,Jinjiang Hotel
584,Taltal,CL,63.41,few clouds,-25.4,-70.4833,Residencial Karime
585,Ketchikan,US,55.38,light rain,55.3422,-131.6461,Snow's Cove Lodge
589,Gorontalo,ID,75.31,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
592,Zaqatala,AZ,55.87,overcast clouds,41.6336,46.6433,Ag Bina Hotel & Spa
593,Abrau-Dyurso,RU,56.66,overcast clouds,44.69,37.59,Avgustin Inn
594,Mareeba,AU,66.92,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
595,Vrangel,RU,57.29,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
596,Marca,RO,69.44,overcast clouds,47.2167,22.5667,Hotel Alex
602,Puerto Madryn,AR,75.16,clear sky,-42.7692,-65.0385,Hotel Tolosa
604,Los Llanos De Aridane,ES,73.15,volcanic ash,28.6585,-17.9182,Valle Aridane
608,Nhulunbuy,AU,72.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
609,Cangucu,BR,65.41,overcast clouds,-31.395,-52.6756,Casa Paulista
616,Rawson,AR,76.51,clear sky,-43.3002,-65.1023,Hosteria Sampedro
618,Sambava,MG,73.94,light rain,-14.2667,50.1667,Melrose
624,Yei,SS,69.22,light rain,4.095,30.6779,City Link Hotel
626,Zhangye,CN,70.7,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
627,Seoul,KR,69.37,clear sky,37.5683,126.9778,Lotte Hotel Seoul
628,Aksu,CN,73.0,clear sky,41.1231,80.2644,Pudong Holiday Hotel
634,Rudraprayag,IN,72.82,clear sky,30.2833,78.9833,OYO 66654 Hotel Devlok
641,Sol-Iletsk,RU,61.12,light rain,51.1631,54.9918,Raduzhnaya
644,Amuntai,ID,74.28,overcast clouds,-2.4177,115.2494,Hotel Balqis
650,Turkan,AZ,66.38,overcast clouds,40.3639,50.215,Samir Зона Отдыха
652,Ambovombe,MG,73.83,clear sky,-25.1667,46.0833,RELAHARA
653,Gurlan,UZ,73.31,clear sky,41.8447,60.3919,ÒJIQ OVUL
654,Bima,ID,75.63,broken clouds,-8.4667,118.7167,Lambitu Hotel
655,Tongliao,CN,59.74,moderate rain,43.6125,122.2653,Meirujia Hotel
657,Saldanha,ZA,64.45,broken clouds,-33.0117,17.9442,Blue Bay Lodge
658,Waterloo,CA,62.73,overcast clouds,43.4668,-80.5164,Comfort Inn
662,Dijon,FR,75.31,clear sky,47.3167,5.0167,Hôtel Restaurant Campanile Dijon Gare
663,Maple Creek,CA,59.41,few clouds,49.9168,-109.4848,Willowbend Campground & Cabins
664,Ebolowa,CM,76.14,light rain,2.9,11.15,Florence Hotel Ebolowa
669,Litovel,CZ,65.68,broken clouds,49.7012,17.0762,Ubytovna U Šmoldasů
